Team,Week,Term,Rank,dma_name,dma_id,score,refresh_date
Boston Celtics,2024-05-05 00:00:00,Celtics,40.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-01-07 00:00:00,Celtics,nan,24,2024-05-11,Panama City FL,656
Boston Celtics,2024-01-28 00:00:00,Celtics,22.0,24,2024-05-11,Panama City FL,656
Boston Celtics,2024-02-11 00:00:00,Celtics,nan,24,2024-05-11,Panama City FL,656
Boston Celtics,2024-02-18 00:00:00,Celtics,nan,24,2024-05-11,Panama City FL,656
Boston Celtics,2024-02-25 00:00:00,Celtics,nan,24,2024-05-11,Panama City FL,656
Boston Celtics,2024-03-31 00:00:00,Celtics,nan,24,2024-05-11,Panama City FL,656
Boston Celtics,2024-04-28 00:00:00,Celtics,20.0,24,2024-05-11,Panama City FL,656
Boston Celtics,2024-01-07 00:00:00,Celtics,nan,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-01-14 00:00:00,Celtics,nan,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-01-21 00:00:00,Celtics,nan,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-01-28 00:00:00,Celtics,nan,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-02-11 00:00:00,Celtics,nan,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-02-18 00:00:00,Celtics,nan,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-02-25 00:00:00,Celtics,nan,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-03-03 00:00:00,Celtics,12.0,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-03-17 00:00:00,Celtics,nan,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-03-24 00:00:00,Celtics,11.0,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-03-31 00:00:00,Celtics,13.0,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-04-21 00:00:00,Celtics,21.0,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-04-28 00:00:00,Celtics,18.0,24,2024-05-11,Palm Springs CA,804
Boston Celtics,2024-01-14 00:00:00,Celtics,nan,24,2024-05-11,Ottumwa IA-Kirksville MO,631
Boston Celtics,2024-01-21 00:00:00,Celtics,nan,24,2024-05-11,Ottumwa IA-Kirksville MO,631
Boston Celtics,2024-02-11 00:00:00,Celtics,nan,24,2024-05-11,Ottumwa IA-Kirksville MO,631
Boston Celtics,2024-03-31 00:00:00,Celtics,nan,24,2024-05-11,Ottumwa IA-Kirksville MO,631
Boston Celtics,2024-04-14 00:00:00,Celtics,nan,24,2024-05-11,Ottumwa IA-Kirksville MO,631
Boston Celtics,2024-04-21 00:00:00,Celtics,nan,24,2024-05-11,Ottumwa IA-Kirksville MO,631
Boston Celtics,2024-01-14 00:00:00,Celtics,nan,24,2024-05-11,Zanesville OH,596
Boston Celtics,2024-01-21 00:00:00,Celtics,nan,24,2024-05-11,Zanesville OH,596
Boston Celtics,2024-02-11 00:00:00,Celtics,nan,24,2024-05-11,Zanesville OH,596
Boston Celtics,2024-02-18 00:00:00,Celtics,nan,24,2024-05-11,Zanesville OH,596
Boston Celtics,2024-03-10 00:00:00,Celtics,nan,24,2024-05-11,Zanesville OH,596
Boston Celtics,2024-03-17 00:00:00,Celtics,nan,24,2024-05-11,Zanesville OH,596
