G,TEAM,Date,Start (ET),,,,Opponent,game_result,,Tm,Opp,W,L,Streak,Notes
5,Dallas Mavericks,"Fri, Nov 3, 2023",10:00p,,Box Score,@,Denver Nuggets,L,,114,125,4,1,L 1,In-Season Tournament
6,Dallas Mavericks,"Sun, Nov 5, 2023",7:30p,,Box Score,,Charlotte Hornets,W,,124,118,5,1,W 1,
7,Dallas Mavericks,"Mon, Nov 6, 2023",7:00p,,Box Score,@,Orlando Magic,W,,117,102,6,1,W 2,
8,Dallas Mavericks,"Wed, Nov 8, 2023",8:30p,,Box Score,,Toronto Raptors,L,,116,127,6,2,L 1,
9,Dallas Mavericks,"Fri, Nov 10, 2023",8:30p,,Box Score,,Los Angeles Clippers,W,,144,126,7,2,W 1,In-Season Tournament
10,Dallas Mavericks,"Sun, Nov 12, 2023",7:00p,,Box Score,@,New Orleans Pelicans,W,,136,124,8,2,W 2,
11,Dallas Mavericks,"Tue, Nov 14, 2023",8:00p,,Box Score,@,New Orleans Pelicans,L,,110,131,8,3,L 1,In-Season Tournament
12,Dallas Mavericks,"Wed, Nov 15, 2023",7:00p,,Box Score,@,Washington Wizards,W,,130,117,9,3,W 1,
13,Dallas Mavericks,"Sat, Nov 18, 2023",8:00p,,Box Score,@,Milwaukee Bucks,L,,125,132,9,4,L 1,
14,Dallas Mavericks,"Sun, Nov 19, 2023",7:30p,,Box Score,,Sacramento Kings,L,,113,129,9,5,L 2,
15,Dallas Mavericks,"Wed, Nov 22, 2023",10:30p,,Box Score,@,Los Angeles Lakers,W,,104,101,10,5,W 1,
16,Dallas Mavericks,"Sat, Nov 25, 2023",10:30p,,Box Score,@,Los Angeles Clippers,L,,88,107,10,6,L 1,
17,Dallas Mavericks,"Tue, Nov 28, 2023",8:30p,,Box Score,,Houston Rockets,W,,121,115,11,6,W 1,In-Season Tournament
18,Dallas Mavericks,"Fri, Dec 1, 2023",7:30p,,Box Score,,Memphis Grizzlies,L,,94,108,11,7,L 1,
19,Dallas Mavericks,"Sat, Dec 2, 2023",9:00p,,Box Score,,Oklahoma City Thunder,L,,120,126,11,8,L 2,
20,Dallas Mavericks,"Wed, Dec 6, 2023",8:30p,,Box Score,,Utah Jazz,W,,147,97,12,8,W 1,
21,Dallas Mavericks,"Fri, Dec 8, 2023",10:00p,,Box Score,@,Portland Trail Blazers,W,,125,112,13,8,W 2,
22,Dallas Mavericks,"Mon, Dec 11, 2023",8:00p,,Box Score,@,Memphis Grizzlies,W,,120,113,14,8,W 3,
23,Dallas Mavericks,"Tue, Dec 12, 2023",7:30p,,Box Score,,Los Angeles Lakers,W,,127,125,15,8,W 4,
24,Dallas Mavericks,"Thu, Dec 14, 2023",8:30p,,Box Score,,Minnesota Timberwolves,L,,101,119,15,9,L 1,
25,Dallas Mavericks,"Sat, Dec 16, 2023",9:00p,,Box Score,@,Portland Trail Blazers,W,,131,120,16,9,W 1,
26,Dallas Mavericks,"Mon, Dec 18, 2023",9:00p,,Box Score,@,Denver Nuggets,L,,104,130,16,10,L 1,
27,Dallas Mavericks,"Wed, Dec 20, 2023",8:30p,,Box Score,,Los Angeles Clippers,L,,111,120,16,11,L 2,
28,Dallas Mavericks,"Fri, Dec 22, 2023",8:00p,,Box Score,@,Houston Rockets,L,,96,122,16,12,L 3,
29,Dallas Mavericks,"Sat, Dec 23, 2023",8:30p,,Box Score,,San Antonio Spurs,W,,144,119,17,12,W 1,
30,Dallas Mavericks,"Mon, Dec 25, 2023",10:30p,,Box Score,@,Phoenix Suns,W,,128,114,18,12,W 2,
31,Dallas Mavericks,"Wed, Dec 27, 2023",8:30p,,Box Score,,Cleveland Cavaliers,L,,110,113,18,13,L 1,
32,Dallas Mavericks,"Thu, Dec 28, 2023",8:00p,,Box Score,@,Minnesota Timberwolves,L,,110,118,18,14,L 2,
33,Dallas Mavericks,"Sat, Dec 30, 2023",8:30p,,Box Score,@,Golden State Warriors,W,,132,122,19,14,W 1,
34,Dallas Mavericks,"Mon, Jan 1, 2024",9:00p,,Box Score,@,Utah Jazz,L,,90,127,19,15,L 1,
35,Dallas Mavericks,"Wed, Jan 3, 2024",8:30p,,Box Score,,Portland Trail Blazers,W,,126,97,20,15,W 1,
36,Dallas Mavericks,"Fri, Jan 5, 2024",8:30p,,Box Score,,Portland Trail Blazers,W,,139,103,21,15,W 2,
37,Dallas Mavericks,"Sun, Jan 7, 2024",7:30p,,Box Score,,Minnesota Timberwolves,W,,115,108,22,15,W 3,
38,Dallas Mavericks,"Tue, Jan 9, 2024",8:30p,,Box Score,,Memphis Grizzlies,L,,103,120,22,16,L 1,
39,Dallas Mavericks,"Thu, Jan 11, 2024",8:30p,,Box Score,,New York Knicks,W,,128,124,23,16,W 1,
40,Dallas Mavericks,"Sat, Jan 13, 2024",8:30p,,Box Score,,New Orleans Pelicans,L,,108,118,23,17,L 1,
41,Dallas Mavericks,"Mon, Jan 15, 2024",2:30p,,Box Score,,New Orleans Pelicans,W,,125,120,24,17,W 1,
42,Dallas Mavericks,"Wed, Jan 17, 2024",8:30p,,Box Score,@,Los Angeles Lakers,L,,110,127,24,18,L 1,
43,Dallas Mavericks,"Mon, Jan 22, 2024",8:30p,,Box Score,,Boston Celtics,L,,110,119,24,19,L 2,
44,Dallas Mavericks,"Wed, Jan 24, 2024",8:30p,,Box Score,,Phoenix Suns,L,,109,132,24,20,L 3,
45,Dallas Mavericks,"Fri, Jan 26, 2024",7:00p,,Box Score,@,Atlanta Hawks,W,,148,143,25,20,W 1,
46,Dallas Mavericks,"Sat, Jan 27, 2024",9:00p,,Box Score,,Sacramento Kings,L,,115,120,25,21,L 1,
47,Dallas Mavericks,"Mon, Jan 29, 2024",8:30p,,Box Score,,Orlando Magic,W,,131,129,26,21,W 1,
48,Dallas Mavericks,"Wed, Jan 31, 2024",8:00p,,Box Score,@,Minnesota Timberwolves,L,,87,121,26,22,L 1,
49,Dallas Mavericks,"Sat, Feb 3, 2024",8:30p,,Box Score,,Milwaukee Bucks,L,,117,129,26,23,L 2,
50,Dallas Mavericks,"Mon, Feb 5, 2024",7:00p,,Box Score,@,Philadelphia 76ers,W,,118,102,27,23,W 1,
51,Dallas Mavericks,"Tue, Feb 6, 2024",7:30p,,Box Score,@,Brooklyn Nets,W,,119,107,28,23,W 2,
